Ticker,Name,Sector,Price,Dividend Yield,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Dividends Per Share (TTM),Market Cap ($M),Trailing P/E Ratio,Payout Ratio,Beta,52-Week High,52-Week Low
A,Agilent Technologies Inc.,Healthcare,"135,91","0,00581633811","0,0824742268","0,09730933215","0,7904985125","40822,75801","16,86890827","0,1003170701","1,031825232","179,11","111,86"
AA,Alcoa Corp,Basic Materials,"74,04","0,001350621306",,,"0,1000000015","13853,117","16,95607956","0,02309468857","1,419772781","75,23","21,02"
AAC,Ares Acquisition Corporation,N/A,"9,75",0,,,0,975,0,N/A,,10,"9,5"
AAL,American Airlines Group Inc,Industrials,"18,84",0,,,0,"12199,17359",N/A,0,"1,282141112","26,09","14,91"
AAME,Atlantic American Corp.,Financial Services,"2,75","0,00727272711",,,"0,01999999955","56,041084",0,N/A,"0,4989937366","6,71","2,12"
AAN,Aarons Company Inc (The),Industrials,"21,62","0,01839417285",,,"0,3976820171","680,6678",0,N/A,"1,118751224","37,08","19,87"
AAOI,Applied Optoelectronics Inc,Technology,"3,89",0,,,0,"106,187847",N/A,0,"1,519478068","12,82","3,63"
AAON,AAON Inc.,Industrials,"60,23","0,006301501934",,,"0,3795394615","3157,740247","44,18644698","0,2853680162","0,853338779","83,79","58,02"
AAP,Advance Auto Parts Inc,Consumer Cyclical,"222,6","0,0269541779",3,"0,7553743576","3,233296677","13880,2624","21,47198238","0,3285870607","0,7076637878","244,55","152,05"
AAPL,Apple Inc,Technology,"172,79","0,00509288732","0,07317073171","-0,1897548758","0,8781914222","2819836,21","28,04272498","0,1458789738","1,348749565","182,71","115,52"
AAT,American Assets Trust Inc,Real Estate,"35,42","0,03613777527","0,2","0,02903366107","1,146772007","2143,754094","37,77407129","1,539291284","0,8311367144","40,49","28,02"
AAWW,Atlas Air Worldwide Holdings Inc.,Industrials,"78,43",0,,,0,"2276,688863","4,548419949",0,"1,075607975","97,13","53,36"
ABBV,Abbvie Inc,Healthcare,"144,76","0,03896103896","0,08461538462","0,1711373392","5,225107814","255816,33","34,28713711","1,247042438","0,4232211105","145,46","97,51"
ABC,Amerisource Bergen Corp.,Healthcare,"141,48","0,01300537178","0,04545454545","0,04735278879","1,790832938","29588,76346","18,33038663","0,2325757062","0,4885998903","144,1","99,28"
ABCB,Ameris Bancorp,Financial Services,"51,21","0,0116650206",0,"0,0844717712","0,5973657047","3566,018131","9,161159888","0,1070547858","1,002781375","59,33","44,66"
ABEO,Abeona Therapeutics Inc,Healthcare,"0,267",0,,,0,"27,212083",0,N/A,"1,076100421","2,87","0,2058"
ABG,Asbury Automotive Group Inc,Consumer Cyclical,"175,44",0,,,0,"4058,92791","8,438519563",0,"1,112550847","230,97","146,43"
ABIO,ARCA biopharma Inc,Healthcare,"1,88",0,,,0,"27,091069",0,N/A,"0,7653939787","5,14","1,71"
ABM,ABM Industries Inc.,Industrials,"42,77","0,01823708207","0,02631578947","0,0278201746","0,7600164622","2879,189962","11,40725024","0,2048561893","0,8003785741","54,56","38,26"
ABMD,Abiomed Inc.,Healthcare,"304,7",0,,,0,"13868,78614","104,2483699",0,"1,301095697","379,3","261,27"
ABR,Arbor Realty Trust Inc.,Real Estate,"17,03","0,08455666471","0,125","0,148698355","1,343181816","2435,403403","7,906486474","0,6488801041","0,9404446113","20,37","14,01"
ABT,Abbott Laboratories,Healthcare,"123,98","0,01516373609","0,04444444444","0,1214254213","1,810111717","219232,2184","30,26397272","0,4480474548","0,6366951515","142,1","104,19"
ABTX,Allegiance Bancshares Inc,Financial Services,"42,68","0,0111966534",,,"0,4778731673","864,162446","11,38014178","0,1284605288","0,6828096607","45,94","34,1"
AC,Associated Capital Group Inc,Financial Services,"38,5","0,005188335651",,,"0,1997509226","119,164007",0,N/A,"0,9060219473","47,5","32,24"
ACA,Arcosa Inc,Industrials,"46,7","0,00534599057",,,"0,2496577596","2256,996009",0,N/A,"1,426120965","68,21","43,42"
ACAD,Acadia Pharmaceuticals Inc,Healthcare,"27,28",0,,,0,"4385,422889",N/A,0,"0,3757522147","52,12","15,68"
ACBI,Atlantic Capital Bancshares Inc,Financial Services,"32,56",0,,,0,"661,121748","13,65079698",0,"0,8612532029","33,68","18,85"
ACC,American Campus Communities Inc.,Real Estate,"50,35","0,03733862959",0,"0,01327898649","1,854883479","7006,538385","372,1537359","13,71955236","0,7077865399","57,31","38,53"
ACCO,Acco Brands Corporation,Industrials,"8,42","0,03170221228",,,"0,2669326274","806,053866","10,3075942","0,3291401078","1,01362908","9,68","7,54"
ACER,Acer Therapeutics Inc,Healthcare,"2,44",0,,,0,"34,916995",0,N/A,"1,140067767","5,39","1,68"
ACGL,Arch Capital Group Ltd,Financial Services,"47,68",0,,,0,"18410,85687","9,143867346",0,"0,7877033599","49,15","34,73"
ACHC,Acadia Healthcare Company Inc,Healthcare,"54,67",0,,,0,"4916,780127",N/A,0,"1,249501591","68,65","49,88"
ACHN,Achison Inc,N/A,"0,5",0,,,0,"14,9975",0,N/A,,"0,52","0,06"
ACHV,Achieve Life Sciences Inc.,Healthcare,"7,66",0,,,0,"72,414132",0,N/A,"0,8871825381","15,16","6,55"
ACIA,Acacia Communications Inc,Technology,"114,99",0,,,0,0,0,0,,,
ACIW,ACI Worldwide Inc,Technology,"34,84",0,,,0,"4096,015118","47,92566773",0,"1,323757853","43,23","28,39"
ACLS,Axcelis Technologies Inc,Technology,"70,4",0,,,0,"2345,149523","30,23073829",0,"2,624228603","77,6","33,36"
ACM,AECOM,Industrials,"73,03","0,002053950513",,,"0,150000006","10322,263","49,48233745","0,105633807","1,231512955","78,62","55,01"
ACMR,ACM Research Inc,Technology,"84,84",0,,,0,"1500,0059","48,82672763",0,"2,283971056","138,88","60,84"
ACN,Accenture plc,Technology,"329,41","0,01177863453",,,"3,685281076","216861,4007","34,99143303","0,3838834454","1,126119079","416,29","241,65"
ACNB,ACNB Corp.,Financial Services,"32,81","0,03038378131","0,04","0,05387395206","0,9968918648","285,28528",0,N/A,"0,4044954976",35,"25,26"
ACOR,Acorda Therapeutics Inc,Healthcare,"2,06",0,,,0,"19,535394",N/A,0,"1,1880429","7,45","1,61"
ACRE,Ares Commercial Real Estate Corp,Real Estate,"14,6","0,0904109589",0,"0,03340648294","1,304248075","686,226587","11,8903295","0,8872435887","0,9262238011","16,58","12,45"
ACRS,Aclaris Therapeutics Inc,Healthcare,"12,74",0,,,0,"780,036222",N/A,0,"1,206864738","30,38","9,26"
ACRX,Acelrx Pharmaceuticals Inc,Healthcare,"0,427",0,,,0,"50,949035",0,N/A,"1,468139759","2,35","0,3855"
ACTG,Acacia Research Corp,Industrials,"4,33",0,,,0,"214,732719","11,17701016",0,"1,368702564","9,09","4,01"
ACU,Acme United Corp.,Consumer Defensive,"32,73","0,01579742171",0,"0,05387395206","0,5170496126","116,508556",0,N/A,"0,3789417469","47,79","29,82"
ACY,Aerocentury Corp.,Industrials,"4,93",0,,,0,"21,774878",0,N/A,"2,817651434","13,21","0,5441"
ADBE,Adobe Inc,Technology,"479,5",0,,,0,"226490,7337","23,48514451",0,"1,50769802","699,54","420,78"
ADC,Agree Realty Corp.,Real Estate,"62,86","0,03786191537","0,04608294931","-0,1681783871","2,578822692","4386,354959","39,11917594","1,456961973","0,6053726379","74,48","59,18"
ADES,Advanced Emissions Solutions Inc,Industrials,"6,28",0,,,0,"118,473079",0,N/A,"0,6831283304","8,41","4,6"
ADI,Analog Devices Inc.,Technology,"162,04","0,01693060732","0,1129032258","0,08924936491","2,743435611","42597,58644","15,31822225","0,3958781545","1,451737799","191,22","140,52"
ADM,Archer Daniels Midland Co.,Consumer Defensive,"76,8","0,02083333333","0,08108108108","0,04563955259","1,497907153","42965,08877","16,43652975","0,3235220632","0,6305608792","78,03","53,73"
ADMA,Adma Biologics Inc,Healthcare,"1,67",0,,,0,"327,009074",0,N/A,"0,8647904328","2,72","1,01"
